names
THORNTONS QUICK CAFE  MARKET 
DAIRY MART 
PAPA MURPHYS TAKE N BAKE PIZZA KY 
CORNER MARKET
WALMART SUPERCENTER 
CIRCLE K 
JRS QUICK MART
WALGREEN 
SAVE A LOT
RITE AID 
DOLLAR GENERAL MARKET 
CUBA FOOD MART
DIXIE ORIENTAL MARKET
JERRYS MARKET
TARGET STORE T
CVS PHARMACY 
BH INTERNATIONAL MARKET
NEXT DOOR CONVENIENCE FOOD MART
CARDINAL MARKET
VALU MARKET
GORDON FOOD SERVICE MARKETPLACE MP
KROGER 
BROADWAY FOOD MART
SPEEDY MART 
SPEEDWAY 
ZORN AVE BP
PAPA MURPHYS TAKE N BAKE PIZZA
DOLLAR TREE 
JCS CIGARETTE OUTLET 
DERBY DOLLAR STORE LLC
DOLLAR GENERAL 
WALMART NEIGHBORHOOD MARKET 
SHORTYS FOOD MART 
FIVE STAR 
PATEL BROTHERS
OUTER LOOP SHELL
RIVER ROAD CHEVRON
BRECKENRIDGE BP
KLONDIKE MARKET  DELI
WALGREENS 
A CHAU GROCERY
LA BODEQUITA
DINOS FOOD MART
RITE AID PHARMACY 
SUBZI MANDI
SAMS KWIK MART
DISCOUNT CIGARETTE AND LIQUOR OUTLET
ALDI 
DERBY SMOKE SHOP WEST GROCERY
FINE STOP FOOD MART
LA TROPICANA
SAMS CLUB 
FAMILY DOLLAR STORE 
MI PREFERIDA
OAK STREET FOODMART
SOUTHWEST FARMERS MARKET
RAINBOW BLOSSOM
SAVEASTEP
RAINBOW BLOSSOM 
AFRICAN FOODWAY
BUTCHERS BEST
FAMILY DOLLAR STOER 
THORNTONS 
FAMILY DOLLAR 
AAA FOOD MART
TIENDA MEXICANA GUANAJUATO
STOP  GO FOOD MART 
LA SIERRA TARASCA LLC
THE LATIN FOOD BAKERY
HAPPY FOOD MART
COSTCO WHOLESALE 
JAY FOOD MART I
GRAY STREET FARMERS MARKET
HURSTBOURNE PKY FOOD CENTER
FRESH STOP AT REDEEMER LUTHERAN CHURCH
PAPA MURPHYS
FRIENDLY MART
SUNRISE MARKET
BIG A FARMERS MARKET
FOOD MARKET AND S FLOYD TOBACCO
DEAL MASTER
DURAMART
FIVE STAR HALAL MARKET LLC
DONGAR FOOD MART  DELI 
DIXIE FOOD MART
THORNTONS INC 
SUNSHINE GROCERY
SAVEALOT 
MIDWEST PETROLEUM
ANAR FOOD MART
STOP N GO FOOD MART
SPEEDWAY  
GARDEN GATE FRUIT MARKET
DONGAR FOOD MART  DELI  
STOP N GO FOOD MART 
MACS FOOD MART
QUICK FOOD MART
BP MINI MART INC
FARMBOY FOODMART
SUPER MERCADO PUEBLA LLC
DEALS 
LICKETY SPLIT FOOD MART
TRADER JOES 
FRIENDLY STOP FOOD MART
DONGAR FOOD MART 
MIAMI FOOD MARKET 
LA BELLA AIROSA
FIVESTAR 
PAPA MURPHYS 
LA TROPICAL
SMYRNA VALERO
PHOENIX HILL NULU FARMERS MARKET
SISSY LIQUOR  GROCERY
THE FRESH MARKET 
SUPER USA 
ANITA  SON FOOD MART INC
SINGH FOOD MART
LA CARIBENA
PAPA MURPHYS PIZZA 
AIRPORT SHELL
ROSES 
SUPER USA  MARATHON
ALS SMOKE SHOP
RHYTHM FOOD MART NO
THIRD SMOKE SHOP
WELLINGTON FRESH STOP
PURITENS MART
GRAB N GO 
MAURI MART
NULU EDGE FOOD MARKET
PATELS FOOD MART
WEST END FOODS LLC
MORS INTERNATIONAL GROCERY 
GRAND MARKET
PRICE LESS FOODS 
BULLITT MART
CROSSROADS IGA 
ORIENTAL SUPERMARKET AND GIFT SHOP
PAPA MURPHYS TAKE N BAKE PIZZA K
LA POPULAR LLC
VIETHOA SUPERMARKET
CROWN SMOKE SHOP  CHICKEN
LA ESPERANZA GROCERY LLC
ABRAHA FOOD AND TABACCO MART
SCOTTS FOOD MART
BRIANS DELI
BARDSTOWN RD SAVEALOT 
LOUISVILLE GROWS INC 
THE HILLEBRAND MARKET
WEST MARKET LLC
THE GROCERY OUTLET
PITA BREAD LLC
WORLD FOOD MARKET INC
EL REY 
PANADERIA Y TIENDA GUADALAJARA LLC
MAPCO MART 
FIVE POINTS FOOD MART
LUCKYS MARKET 
SHIVELY FOOD MART
ASHBOURNE ENTERPRISES LLC
MAPCO 
GRABANDGO
BROADWAY MARKET
SHOP TODAY
MELLWOOD VALERO
ALFRATAIN
TAYLOR BLVD VALERO
SHREE SAI CORPORATION
J AND C GAS STATION
ELMARS
OAK FOOD MART
MI PREFERIDA  LLC
JR MINI MART
 CONVENIENCE PLUS
LAMP FALL GROCERY STORE
WAYSIDE CHRISTIAN MISSION
ST MATTHEWS MINI MART
BETHLEHAM  LLC
CASH SAVER 
ALIS FOOD MART 
FANTASTIC MARKET INC
TH AND HILL MARKET LLC
SHOP TODAY  INCSARA FOODMART
SUPERMERCADO GUANAJUATO
JAYS FOOD MART
SMOKETOWN NEIGHBORHOOD FRESH STOP
FISH N MORE
PAPA MURPHYS TAKE AND BAKE PIZZA 
BIG LOTS 
PARKLAND NEIGHBORHOOD FRESH STOP
SPEEDY MART
BLUEGRASS FARMERS MARKET
MARKET ZONE 
TH ST FOOD MART
KEY MARKET
ACE SMOKE SHOP
DIXIE FOOD MARKET
JASMIN BAKERY
CEDAR CREEK CORNER STORE
DISCOUNT CIGARETTE AND LIQUOR OUTLET 
SATNAM LLC
DINA LLC DBA DINOS FOOD MART
WEST MARKET FOOD MART
